x_m,y_m,velocity_mps,heading_rad
29.2173,44.8239,7.7034,2.0577
28.7716,45.6750,7.7160,2.0490
28.3334,46.5294,7.7328,2.0407
27.9023,47.3870,7.7619,2.0329
27.4778,48.2474,7.7969,2.0256
27.0594,49.1106,7.8322,2.0188
26.6468,49.9762,7.8629,2.0127
26.2393,50.8440,7.8851,2.0078
25.8353,51.7133,7.8956,2.0050
25.4328,52.5831,7.8919,2.0044
25.0298,53.4527,7.8727,2.0061
24.6245,54.3212,7.8370,2.0100
24.2148,55.1877,7.7850,2.0161
23.7987,56.0514,7.7179,2.0244
23.3744,56.9113,7.6395,2.0350
22.9399,57.7667,7.5567,2.0478
22.4931,58.6167,7.4783,2.0628
22.0322,59.4603,7.4089,2.0799
21.5552,60.2968,7.3412,2.0992
21.0602,61.1254,7.2740,2.1207
20.5451,61.9450,7.2025,2.1441
20.0080,62.7549,7.1271,2.1696
19.4470,63.5542,7.0587,2.1970
18.8600,64.3421,7.0120,2.2261
18.2452,65.1176,7.0069,2.2570
17.6006,65.8800,7.0681,2.2893
16.9242,66.6283,7.1769,2.3230
16.2142,67.3617,7.3153,2.3561
15.4714,68.0815,7.4632,2.3836
14.7024,68.7928,7.6009,2.4025
13.9141,69.5009,7.7169,2.4127
13.1137,70.2114,7.8043,2.4145
12.3080,70.9297,7.5846,2.4082
11.5046,71.6612,7.1059,2.3919
10.7207,72.4076,6.4203,2.3614
9.9831,73.1669,5.3729,2.3125
9.3192,73.9373,4.2392,2.2404
8.7563,74.7168,3.3988,2.1380
8.3217,75.5033,2.9257,1.9873
8.0637,76.2823,2.8274,1.6487
8.2105,76.9270,2.9359,0.9216
8.8485,77.3162,3.3169,0.3275
9.8190,77.4735,3.9805,0.1072
10.9145,77.5385,4.9371,0.0615
11.9949,77.6074,6.1969,0.0664
13.0520,77.6806,7.7700,0.0671
14.0916,77.7483,9.6669,0.0650
